%Training dataset,Shuffle number,Training epochs,Detector epochs (TD only),pcutoff,train rmse,train rmse_pcutoff,train mAP,train mAR,test rmse,test rmse_pcutoff,test mAP,test mAR
0.95,1,100,-1,0.01,20.78,20.78,93.15,94.31,8.62,8.62,100.0,100.0
0.95,1,100,-1,0.05,20.78,20.73,93.15,94.31,8.62,8.62,100.0,100.0
0.95,1,100,-1,0.1,20.78,20.73,93.15,94.31,8.62,8.62,100.0,100.0
0.95,1,100,-1,0.15,20.78,19.45,93.15,94.31,8.62,8.62,100.0,100.0
0.95,1,100,-1,0.2,20.78,16.26,93.15,94.31,8.62,8.62,100.0,100.0
0.95,1,100,-1,0.25,20.78,13.37,93.15,94.31,8.62,7.71,100.0,100.0
0.95,1,100,-1,0.3,20.78,10.78,93.15,94.31,8.62,7.8,100.0,100.0
0.95,1,180,-1,0.1,132.73,122.11,52.83,56.15,97.36,92.8,60.25,62.76
0.95,1,400,-1,0.1,84.74,79.93,70.5,72.77,117.44,112.07,63.78,66.21
0.95,1,440,-1,0.01,74.31,74.31,73.9,76.1,122.45,122.45,66.73,68.97
0.95,1,440,-1,0.05,74.31,73.53,73.9,76.1,122.45,122.45,66.73,68.97
0.95,1,440,-1,0.1,74.31,66.77,73.9,76.1,122.45,105.48,66.73,68.97
0.95,1,440,-1,0.15,74.31,58.84,73.9,76.1,122.45,80.0,66.73,68.97
0.95,1,440,-1,0.2,74.31,48.28,73.9,76.1,122.45,61.18,66.73,68.97
0.95,1,440,-1,0.25,74.31,39.14,73.9,76.1,122.45,47.7,66.73,68.97
0.95,1,440,-1,0.3,74.31,30.47,73.9,76.1,122.45,42.12,66.73,68.97
0.95,1,500,-1,0.1,77.78,73.92,74.0,75.69,143.88,131.59,60.58,63.1
